ID,Name,Description,Tags,lemmatized_description,cleaned_lemmatized_description,word_array,pos_tagged_words,Nouns,Verbs,Adjectives,processed_description,top_tags,Tag1,Tag2,Tag3,Tag4,Tag5,Tag6,Tag7
1.0,Sarah,"Sarah is a dedicated student with a passion for Mathematics and Physics. Her interests lie in the realms of Astrophysics and Quantum Mechanics, where she delves into the mysteries of the universe with fervor and curiosity",Physics,"Sarah is a dedicated student with a passion for Mathematics and Physics . Her interest lie in the realm of Astrophysics and Quantum Mechanics , where she delf into the mystery of the universe with fervor and curiosity","Sarah dedicated student passion Mathematics Physics . interest lie realm Astrophysics Quantum Mechanics , delf mystery universe fervor curiosity","['Sarah', 'dedicated', 'student', 'passion', 'Mathematics', 'Physics', '.', 'interest', 'lie', 'realm', 'Astrophysics', 'Quantum', 'Mechanics', ',', 'delf', 'mystery', 'universe', 'fervor', 'curiosity']","[('Sarah', 'NNP'), ('dedicated', 'VBD'), ('student', 'NN'), ('passion', 'NN'), ('Mathematics', 'NNPS'), ('Physics', 'NNPS'), ('.', '.'), ('interest', 'NN'), ('lie', 'NN'), ('realm', 'NN'), ('Astrophysics', 'NNP'), ('Quantum', 'NNP'), ('Mechanics', 'NNP'), (',', ','), ('delf', 'PRP'), ('mystery', 'VBP'), ('universe', 'JJ'), ('fervor', 'NN'), ('curiosity', 'NN')]",student passion interest lie realm fervor curiosity  Sarah Astrophysics Quantum Mechanics Mathematics Physics, dedicated   mystery ,universe,"sarah student passion mathematics physics . interests lie realms astrophysics quantum mechanics , delves mysteries universe fervor curiosity","['sarah', 'curiosity', 'astrophysics', 'quantum', 'mathematics', 'fervor', 'mechanics']",sarah,curiosity,astrophysics,quantum,mathematics,fervor,mechanics
2.0,Alex,"Alex is a tech enthusiast studying Computer Science and Data Science. His interests revolve around Artificial Intelligence and Machine Learning, where he explores the cutting-edge technologies shaping the future of computing.",Computer Science,"Alex is a tech enthusiast studying Computer Science and Data Science . His interest revolve around Artificial Intelligence and Machine Learning , where he explores the cutting-edge technology shaping the future of computing .","Alex tech enthusiast studying Computer Science Data Science . interest revolve around Artificial Intelligence Machine Learning , explores cutting-edge technology shaping future computing .","['Alex', 'tech', 'enthusiast', 'studying', 'Computer', 'Science', 'Data', 'Science', '.', 'interest', 'revolve', 'around', 'Artificial', 'Intelligence', 'Machine', 'Learning', ',', 'explores', 'cutting-edge', 'technology', 'shaping', 'future', 'computing', '.']","[('Alex', 'NNP'), ('tech', 'VBD'), ('enthusiast', 'RB'), ('studying', 'VBG'), ('Computer', 'NNP'), ('Science', 'NNP'), ('Data', 'NNP'), ('Science', 'NNP'), ('.', '.'), ('interest', 'NN'), ('revolve', 'NN'), ('around', 'IN'), ('Artificial', 'NNP'), ('Intelligence', 'NNP'), ('Machine', 'NNP'), ('Learning', 'NNP'), (',', ','), ('explores', 'VBZ'), ('cutting-edge', 'JJ'), ('technology', 'NN'), ('shaping', 'VBG'), ('future', 'JJ'), ('computing', 'NN'), ('.', '.')]",interest revolve technology computing  Alex Computer Science Data Science Artificial Intelligence Machine Learning , tech studying shaping   explores,cutting-edge future,"alex tech enthusiast computer science data science . interests revolve around intelligence machine , explores cutting-edge technologies future .","['science', 'around', 'alex', 'data', 'machine', 'revolve', 'intelligence']",science,around,alex,data,machine,revolve,intelligence
3.0,Emily,"Emily is an avid reader and historian, focusing on Literature and History. She finds joy in Creative Writing and delves deep into the narratives of Ancient Civilizations, drawing inspiration from the past for her own creative endeavors.",Literature,"Emily is an avid reader and historian , focusing on Literature and History . She find joy in Creative Writing and delf deep into the narrative of Ancient Civilizations , drawing inspiration from the past for her own creative endeavor .","Emily avid reader historian , focusing Literature History . find joy Creative Writing delf deep narrative Ancient Civilizations , drawing inspiration past creative endeavor .","['Emily', 'avid', 'reader', 'historian', ',', 'focusing', 'Literature', 'History', '.', 'find', 'joy', 'Creative', 'Writing', 'delf', 'deep', 'narrative', 'Ancient', 'Civilizations', ',', 'drawing', 'inspiration', 'past', 'creative', 'endeavor', '.']","[('Emily', 'RB'), ('avid', 'JJ'), ('reader', 'NN'), ('historian', 'NN'), (',', ','), ('focusing', 'VBG'), ('Literature', 'NNP'), ('History', 'NNP'), ('.', '.'), ('find', 'VB'), ('joy', 'JJ'), ('Creative', 'NNP'), ('Writing', 'NNP'), ('delf', 'PRP'), ('deep', 'JJ'), ('narrative', 'JJ'), ('Ancient', 'NNP'), ('Civilizations', 'NNP'), (',', ','), ('drawing', 'VBG'), ('inspiration', 'NN'), ('past', 'IN'), ('creative', 'JJ'), ('endeavor', 'NN'), ('.', '.')]",reader historian inspiration endeavor  Literature History Creative Writing Ancient Civilizations ,find  focusing drawing   ,avid joy deep narrative creative,"emily avid reader historian , literature history . finds joy delves deep narratives ancient civilizations , inspiration past endeavors .","['deep', 'historian', 'narratives', 'reader', 'emily', 'avid', 'joy']",deep,historian,narratives,reader,emily,avid,joy
4.0,James,"James is a science enthusiast excelling in Biology and Chemistry. His interests in Genetics and Biochemistry drive his research and experiments, as he seeks to unravel the complexities of life at a molecular level.",Chemistry,"James is a science enthusiast excelling in Biology and Chemistry . His interest in Genetics and Biochemistry drive his research and experiment , a he seek to unravel the complexity of life at a molecular level .","James science enthusiast excelling Biology Chemistry . interest Genetics Biochemistry drive research experiment , seek unravel complexity life molecular level .","['James', 'science', 'enthusiast', 'excelling', 'Biology', 'Chemistry', '.', 'interest', 'Genetics', 'Biochemistry', 'drive', 'research', 'experiment', ',', 'seek', 'unravel', 'complexity', 'life', 'molecular', 'level', '.']","[('James', 'NNP'), ('science', 'NN'), ('enthusiast', 'NN'), ('excelling', 'VBG'), ('Biology', 'NNP'), ('Chemistry', 'NNP'), ('.', '.'), ('interest', 'NN'), ('Genetics', 'NNPS'), ('Biochemistry', 'NNP'), ('drive', 'VBP'), ('research', 'NN'), ('experiment', 'NN'), (',', ','), ('seek', 'VBP'), ('unravel', 'JJ'), ('complexity', 'NN'), ('life', 'NN'), ('molecular', 'JJ'), ('level', 'NN'), ('.', '.')]",science enthusiast interest research experiment complexity life level  James Biology Chemistry Biochemistry Genetics,  excelling  drive seek ,unravel molecular,"james science enthusiast biology chemistry . interests genetics biochemistry drive research experiments , seeks unravel complexities life molecular level .","['biochemistry', 'unravel', 'experiments', 'level', 'molecular', 'james', 'chemistry']",biochemistry,unravel,experiments,level,molecular,james,chemistry
5.0,Mia,"Mia is a student of Economics and Political Science, passionate about understanding global dynamics. Her interests in International Relations and Public Policy reflect her commitment to making a positive impact on society through informed decision-making.",Economics,"Mia is a student of Economics and Political Science , passionate about understanding global dynamic . Her interest in International Relations and Public Policy reflect her commitment to making a positive impact on society through informed decision-making .","Mia student Economics Political Science , passionate understanding global dynamic . interest International Relations Public Policy reflect commitment making positive impact society informed decision-making .","['Mia', 'student', 'Economics', 'Political', 'Science', ',', 'passionate', 'understanding', 'global', 'dynamic', '.', 'interest', 'International', 'Relations', 'Public', 'Policy', 'reflect', 'commitment', 'making', 'positive', 'impact', 'society', 'informed', 'decision-making', '.']","[('Mia', 'NNP'), ('student', 'NN'), ('Economics', 'NNP'), ('Political', 'NNP'), ('Science', 'NNP'), (',', ','), ('passionate', 'NN'), ('understanding', 'NN'), ('global', 'JJ'), ('dynamic', 'JJ'), ('.', '.'), ('interest', 'NN'), ('International', 'NNP'), ('Relations', 'NNP'), ('Public', 'NNP'), ('Policy', 'NNP'), ('reflect', 'VBP'), ('commitment', 'NN'), ('making', 'VBG'), ('positive', 'JJ'), ('impact', 'NN'), ('society', 'NN'), ('informed', 'VBN'), ('decision-making', 'NN'), ('.', '.')]",student passionate understanding interest commitment impact society decision-making  Mia Economics Political Science International Relations Public Policy ,  making informed reflect ,global dynamic positive,"mia student economics science , passionate dynamics . interests relations public policy reflect commitment impact society decision-making .","['policy', 'society', 'mia', 'impact', 'commitment', 'relations', 'dynamics']",policy,society,mia,impact,commitment,relations,dynamics
6.0,Ryan,"Ryan is an aspiring engineer fascinated by Robotics and Renewable Energy. His interests in Autonomous Systems and sustainable technologies drive his innovative projects, aiming to create a more efficient and eco-friendly future.",Robotics,"Ryan is an aspiring engineer fascinated by Robotics and Renewable Energy . His interest in Autonomous Systems and sustainable technology drive his innovative project , aiming to create a more efficient and eco-friendly future .","Ryan aspiring engineer fascinated Robotics Renewable Energy . interest Autonomous Systems sustainable technology drive innovative project , aiming create efficient eco-friendly future .","['Ryan', 'aspiring', 'engineer', 'fascinated', 'Robotics', 'Renewable', 'Energy', '.', 'interest', 'Autonomous', 'Systems', 'sustainable', 'technology', 'drive', 'innovative', 'project', ',', 'aiming', 'create', 'efficient', 'eco-friendly', 'future', '.']","[('Ryan', 'JJ'), ('aspiring', 'VBG'), ('engineer', 'NN'), ('fascinated', 'VBD'), ('Robotics', 'NNP'), ('Renewable', 'NNP'), ('Energy', 'NNP'), ('.', '.'), ('interest', 'NN'), ('Autonomous', 'JJ'), ('Systems', 'NNP'), ('sustainable', 'JJ'), ('technology', 'NN'), ('drive', 'NN'), ('innovative', 'JJ'), ('project', 'NN'), (',', ','), ('aiming', 'VBG'), ('create', 'JJ'), ('efficient', 'JJ'), ('eco-friendly', 'JJ'), ('future', 'NN'), ('.', '.')]",engineer interest technology drive project future  Robotics Renewable Energy Systems , fascinated aspiring aiming   ,Ryan Autonomous sustainable innovative create efficient eco-friendly,"ryan engineer robotics energy . interests systems technologies drive projects , create efficient eco-friendly future .","['create', 'friendly', 'energy', 'ryan', 'efficient', 'eco', 'projects']",create,friendly,energy,ryan,efficient,eco,projects
7.0,Sophia,Sophia is a psychology enthusiast exploring the intricacies of human behavior through her studies in Psychology and Sociology. Her interests in Mental Health Studies and Social Justice fuel her advocacy for mental well-being and societal equality.,Psychology,Sophia is a psychology enthusiast exploring the intricacy of human behavior through her study in Psychology and Sociology . Her interest in Mental Health Studies and Social Justice fuel her advocacy for mental well-being and societal equality .,Sophia psychology enthusiast exploring intricacy human behavior study Psychology Sociology . interest Mental Health Studies Social Justice fuel advocacy mental well-being societal equality .,"['Sophia', 'psychology', 'enthusiast', 'exploring', 'intricacy', 'human', 'behavior', 'study', 'Psychology', 'Sociology', '.', 'interest', 'Mental', 'Health', 'Studies', 'Social', 'Justice', 'fuel', 'advocacy', 'mental', 'well-being', 'societal', 'equality', '.']","[('Sophia', 'NNP'), ('psychology', 'NN'), ('enthusiast', 'NN'), ('exploring', 'VBG'), ('intricacy', 'NN'), ('human', 'JJ'), ('behavior', 'NN'), ('study', 'NN'), ('Psychology', 'NNP'), ('Sociology', 'NNP'), ('.', '.'), ('interest', 'NN'), ('Mental', 'NNP'), ('Health', 'NNP'), ('Studies', 'NNP'), ('Social', 'NNP'), ('Justice', 'NNP'), ('fuel', 'NN'), ('advocacy', 'NN'), ('mental', 'JJ'), ('well-being', 'JJ'), ('societal', 'JJ'), ('equality', 'NN'), ('.', '.')]",psychology enthusiast intricacy behavior study interest fuel advocacy equality  Sophia Psychology Sociology Mental Health Studies Social Justice ,  exploring   ,human mental well-being societal,sophia psychology enthusiast intricacies human behavior studies psychology sociology . interests mental health studies justice fuel advocacy mental well-being societal equality .,"['mental', 'psychology', 'studies', 'being', 'health', 'equality', 'behavior']",mental,psychology,studies,being,health,equality,behavior
8.0,Lucas,"Lucas is an art aficionado studying Art History and Fine Arts. His interests in Contemporary Art and Sculpture inspire his creative expressions, as he explores the diverse forms and meanings of artistic endeavors.",Art,"Lucas is an art aficionado studying Art History and Fine Arts . His interest in Contemporary Art and Sculpture inspire his creative expression , a he explores the diverse form and meaning of artistic endeavor .","Lucas art aficionado studying Art History Fine Arts . interest Contemporary Art Sculpture inspire creative expression , explores diverse form meaning artistic endeavor .","['Lucas', 'art', 'aficionado', 'studying', 'Art', 'History', 'Fine', 'Arts', '.', 'interest', 'Contemporary', 'Art', 'Sculpture', 'inspire', 'creative', 'expression', ',', 'explores', 'diverse', 'form', 'meaning', 'artistic', 'endeavor', '.']","[('Lucas', 'NNP'), ('art', 'NN'), ('aficionado', 'NN'), ('studying', 'VBG'), ('Art', 'NNP'), ('History', 'NNP'), ('Fine', 'NNP'), ('Arts', 'NNP'), ('.', '.'), ('interest', 'NN'), ('Contemporary', 'JJ'), ('Art', 'NNP'), ('Sculpture', 'NNP'), ('inspire', 'VBP'), ('creative', 'JJ'), ('expression', 'NN'), (',', ','), ('explores', 'VBZ'), ('diverse', 'JJ'), ('form', 'NN'), ('meaning', 'NN'), ('artistic', 'JJ'), ('endeavor', 'NN'), ('.', '.')]",art aficionado interest expression form meaning endeavor  Lucas Art History Fine Arts Art Sculpture ,  studying  inspire explores,Contemporary creative diverse artistic,"lucas art aficionado art history fine arts . interests art sculpture inspire expressions , explores diverse forms meanings endeavors .","['art', 'meanings', 'aficionado', 'inspire', 'sculpture', 'lucas', 'endeavors']",art,meanings,aficionado,inspire,sculpture,lucas,endeavors
9.0,Ethan ,Ethan is a linguistics and anthropology student passionate about language and culture. His interests in Language Evolution and Cultural Diversity drive his research into the ways societies communicate and evolve over time.,Evolution,Ethan is a linguistics and anthropology student passionate about language and culture . His interest in Language Evolution and Cultural Diversity drive his research into the way society communicate and evolve over time .,Ethan linguistics anthropology student passionate language culture . interest Language Evolution Cultural Diversity drive research way society communicate evolve time .,"['Ethan', 'linguistics', 'anthropology', 'student', 'passionate', 'language', 'culture', '.', 'interest', 'Language', 'Evolution', 'Cultural', 'Diversity', 'drive', 'research', 'way', 'society', 'communicate', 'evolve', 'time', '.']","[('Ethan', 'NNP'), ('linguistics', 'NNS'), ('anthropology', 'VBP'), ('student', 'NN'), ('passionate', 'NN'), ('language', 'NN'), ('culture', 'NN'), ('.', '.'), ('interest', 'NN'), ('Language', 'NN'), ('Evolution', 'NNP'), ('Cultural', 'NNP'), ('Diversity', 'NNP'), ('drive', 'VBP'), ('research', 'NN'), ('way', 'NN'), ('society', 'NN'), ('communicate', 'NN'), ('evolve', 'NN'), ('time', 'NN'), ('.', '.')]",student passionate language culture interest Language research way society communicate evolve time linguistics Ethan Evolution Cultural Diversity ,    anthropology drive ,,ethan linguistics anthropology student passionate language culture . interests language evolution diversity drive research ways societies communicate evolve time .,"['language', 'time', 'evolution', 'evolve', 'societies', 'communicate', 'ways']",language,time,evolution,evolve,societies,communicate,ways
10.0,Olivia,"Olivia is a budding environmental scientist specializing in Environmental Science and Geology. Her interests in Climate Change Research and Geological Mapping propel her studies, as she seeks to understand and protect the Earth's natural systems for future generations.",Geology,"Olivia is a budding environmental scientist specializing in Environmental Science and Geology . Her interest in Climate Change Research and Geological Mapping propel her study , a she seek to understand and protect the Earth 's natural system for future generation .","Olivia budding environmental scientist specializing Environmental Science Geology . interest Climate Change Research Geological Mapping propel study , seek understand protect Earth 's natural system future generation .","['Olivia', 'budding', 'environmental', 'scientist', 'specializing', 'Environmental', 'Science', 'Geology', '.', 'interest', 'Climate', 'Change', 'Research', 'Geological', 'Mapping', 'propel', 'study', ',', 'seek', 'understand', 'protect', 'Earth', ""'s"", 'natural', 'system', 'future', 'generation', '.']","[('Olivia', 'NNP'), ('budding', 'VBG'), ('environmental', 'JJ'), ('scientist', 'NN'), ('specializing', 'VBG'), ('Environmental', 'NNP'), ('Science', 'NNP'), ('Geology', 'NNP'), ('.', '.'), ('interest', 'NN'), ('Climate', 'NNP'), ('Change', 'NNP'), ('Research', 'NNP'), ('Geological', 'NNP'), ('Mapping', 'NNP'), ('propel', 'NN'), ('study', 'NN'), (',', ','), ('seek', 'JJ'), ('understand', 'NN'), ('protect', 'VBP'), ('Earth', 'NNP'), (""'s"", 'POS'), ('natural', 'JJ'), ('system', 'NN'), ('future', 'JJ'), ('generation', 'NN'), ('.', '.')]",scientist interest propel study understand system generation  Olivia Environmental Science Geology Climate Change Research Geological Mapping Earth ,  budding specializing  protect ,environmental seek natural future,"olivia budding scientist science geology . interests climate change research mapping propel studies , seeks understand protect earth 's systems future generations .","['geology', 'budding', 'generations', 'olivia', 'scientist', 'mapping', 'earth']",geology,budding,generations,olivia,scientist,mapping,earth
